travel_type,travel_class,route,date,seating_comfort,staff_service,food_quality,entertainment,ground_service,value_for_money,recommended,overall_rating,review,Airlines,year,month
Solo Leisure,Business Class,Milan to Melbourne via Delhi,2019-08-01,5.0,5.0,4.0,3.0,4.0,5.0,1,8.0,"  Milan to Melbourne via Delhi. Pleasantly surprised by Air India Business Class. The cabin only has 18 comfortable seats which make excellent beds at the press of a control. The layout is 2x2x22 so you could be unlucky if travelling alone as not much privacy. Get an aisle seat for mobility. The food for main meals was delicious especially the vegetarian options. The drinks service was limited but all that is needed. The cabin crew on the long leg were kind and helpful, One elderly man took ill and they did everything they could to help him. The entertainment options are limited but the seat and bed are great value. Transfers at Delhi are slow and understaffed and need upgraded body screening equipment. I would fly business class with them again.",Air India,2019,8
Family Leisure,Economy Class,Birmingham to Kochi via Delhi,2019-07-01,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,"  Birmingham to Kochi via Delhi. This was the worst flight I've been on. First of all it was a last minute decision to fly to India regarding a family emergency so we booked an inexpensive flight and that flight was air India. The staff were rude to us and the the tray table was filthy and had bits of dried up food stuck on it, when I reported this to the stuff they handed me a tissue asked me to it clean up. You could have at least cleaned up the aircraft for the passengers to use and I take this offensive because hygiene is important to me. Next when we reached Delhi we were told to collect our luggage from the luggage belt and load it on to the next flight because it was a domestic one, this was the first ever time any airline had asked us to collect our luggage when we hadn't even reached our destination. At first we weren't sure because we had flown before and this had never happened so I asked the people at the information desk for help, there wasn't anyone else there but for some apparent reason the people at the desk couldn't see me I said excuse me about three times before someone looked up from their phone and when they did they were unhelpful and they looked at me like how could I disturb them from they're phone's. All in all it was a horrible experience and I will never fly on this airline again.",Air India,2019,7
Solo Leisure,Economy Class,Washington to Delhi,2019-06-01,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,"  Washington to Delhi. I had a family emergency, so I bought whatever ticket was available. Unfortunately, it ended up being Air India. I flew from Denver to Washington on United (Code Share) and then Washington to Delhi on Air India. The flight was delayed by a couple hours. Also, the boarding process was a mess. I stood in the line for like 45 min and then they asked me to get a new boarding pass when I was just about to get in, then put me back at the end of the line! I did not find my bag at the baggage claim in Delhi. So, I had to file a delayed baggage claim. The whole process was a nightmare as there wasn't enough staff available to help. Nobody knew what information to provide. After struggling for a couple hours, they filed a delayed baggage report and they told me I'd be receiving my bag within a couple days. After a couple of days, I called them and they told me that they didn't know where the bag was. So, I started calling them everyday. It would take me a couple hours of calling before they would pick up the phone. The phone operators never had any information about what was going on. One operator told me that the air india flight was not being operated anymore!!! I also sent several emails to the email provided on the delayed baggage report. But they never responded! After 10 days, I received a call from a local airport. They told me to come pick up the bag. I was surprised as the Air India people had told me that the bag would be delivered to my home. As I had a family emergency at home, there was no way I could travel a couple hours to the airport to pick up my bag. So , I told them that I would be filing a police report for stolen bag if they didn't deliver my bag. After several hours, they called me to let me know that they are sending the bag with someone to my home. On Air India's website, it is mentioned that there is $50 delayed baggage compensation if the bag is delivered after 24 hours. I have been trying to contact Air India customer care to get my compensation, but no one responds. I have been sending them emails every day without any luck. I recommend everyone to avoid this airline like plague. I am never flying with them again.",Air India,2019,6
Solo Leisure,Economy Class,Mumbai to Newark,2019-07-01,1.0,2.0,2.0,1.0,1.0,1.0,0,1.0,"  Mumbai to Newark. Horrible experience ever had. My flight would fly on July 2nd at 1:30am, but they delayed 3 hours first then delayed for ove night 3rd July 2:30 and we did fly by 4 am, and it supposed to be direct flight but they  lay over at Ahmedabad airport for 4 hours and  told us for only 1 hour and half. We basically waited 25 hours on airport with no hotel accommodation. They didn’t provide water and blankets till we asked on 2nd July. 3rd July we argued with staff and manager and they agreed to give us lodge and food.  I would never fly again Air India and not recommend this airline ever.",Air India,2019,7
Family Leisure,Economy Class,Mumbai to Newark,2019-06-01,1.0,3.0,2.0,2.0,1.0,1.0,0,1.0," Mumbai to Newark. Due to the short length of the runway at Mumbai airport and incompatibility of Air India, they always remove passenger baggage without ever informing them. They use a very common excuse ""bad weather"". So don't be surprised if you realize at your destination that your baggage was removed and never arrived with you. All other airlines are perfectly fine to land and take off from the Mumbai airport and you never hear any excuses from them. After realizing that you and several other passengers reached their destination without your baggage, the real fun (or frustration) begins. You will realize that Air India has only one phone number for their customer service contact which is the real deal. Average wait time to talk to a representative is over 60 min based on online search (I'm not exaggerating, in my personal experience these were the timings: 96 min, 118 min, 72 min and 130 min). Well after these wait times, you'll end up talking to the most idiotic morons on this planet who probably hate the entire human race. They no idea about anything related to Air India and no respect to listen to what you want, let alone help you. The frustration continues as these reps have no connection to the baggage department and then ask us to get a mystical ""complain number"" before they can look into our case. After calling the customer care for the fourth time, I was told that the number for US baggage department (973-242-0078). Now, I called them over 10-15 times over a period of two days and no one picks up the phone. The fun part is their voicemail box is full and not surprisingly you cannot leave any message or ever get that mystical ""complaint number"". Wrote emails to all departments of Air India including the baggage department. Still waiting for a reply. It's been three days and I'm looking for the lost baggage for me and my parents who travelled to the US and sill have no response from Air India. Please save yourself all this trouble and choose any other decent airline over Air India (even if its a few hundred dollars more pricy).",Air India,2019,6
Solo Leisure,Business Class,Mumbai to Ahmedabad,2019-06-01,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,"  Mumbai to Ahmedabad. Save yourself trouble and never fly Air India. I had a horrible experience with them twice when flying Economy which is why I stopped flying with them and picked Emirates instead. Unfortunately had to book a last-minute ticket and didnt have a choice. This time I hoped the experience will be better since I was flying Business. I am thankful that it was United who issued my tickets and were reliable enough to help me. Air India CS was a nightmare to deal with. Couldnt help. They couldnt find my record, they couldnt assign me a seat, they couldnt confirm anything. Not to mention I was on hold for an hour before they answered the phone. It was United Airlines who put in an hour to communicate with them and help re route me when my flight got cancelled.",Air India,2019,6
Family Leisure,Economy Class,San Francisco to New Delhi,2019-06-01,1.0,1.0,2.0,1.0,1.0,1.0,0,1.0," San Francisco to New Delhi. Worst of the worst. Don’t fly Air India unless this is your only resort. 1) I was traveling alone with my twin 3 year old daughters. They offered no support during the flight. I smiled more than they did. 2) I asked the hostess for water upon boarding and she told me to look in the seat pockets. No such thing was found. The seats were in horrible condition when we arrived. No one had cleaned after the previous flight. 3) No inflight entertainment. Everything was broken. 4) Calling the hostess is a useless exercise. Don’t bother waiting. 5) The arm rests were broken and cracked dangerously enough to cause a hazard for little kids. They kept falling on them when they were trying to sleep. 6) They have nothing to offer little kids. No coloring sheets, stickers. Nope. 7) Had booked child meals and was never offered the option while serving. When I complained, they simply said “You should’ve asked for it.” 8) When I whined about all this, one of the hostesses said that she’ll come and take a look. She never came.",Air India,2019,6
Family Leisure,Economy Class,Delhi to Hong Kong,2019-06-01,2.0,1.0,2.0,1.0,1.0,1.0,0,1.0,"  Delhi to Hong Kong. Air India flight was supposed to take of at 11 pm IST on 15/06/19 but let us cook in the flight for some 3 hours while mending a technical fault in the aircraft. Then at 2 am the air craft becomes grounded & we are requested to deplane to board another aircraft. Further we are subjected to a security check a second time which also became a harassment as there was hardly any staff to speed up the unnecessary process. The small children had become very fussy by 3 am. Then we boarded the next flight running to the next opposite gate so that flight could now leave in a orderly fashion. But after 15 minutes an announcement was made that the pilots had to deplane because of some regulations. With no further explanations about the current situation, there’s an announcement plz open gate l2. At 5 am with much confusion people started deplaning the aircraft a second time only to surround the two ground staff for some kind of explanation. It was really shameful to explain to the foreigners who didn’t understand hindi that its okay for the National Carrier Of India to behave in such fashion. But my biggest challenge of the night was dealing with my own 3 year old who was so excited, didn’t sleep until 4am in the morning & was constantly asking ‘when’s the plane gonna fly, when do we get on our cruise?",Air India,2019,6
Solo Leisure,Economy Class,Delhi to Mumbai ,2019-06-01,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,   Delhi to Mumbai. The worst baggage service and customer care which I have been ever seen. Please don't choose Air India which makes your journey and day of the journey and also entire trip as painful and stolen/broken luggage.,Air India,2019,6
Business,Economy Class,New Delhi to Amritsar,2019-06-01,3.0,3.0,2.0,1.0,3.0,3.0,0,2.0," I had a connecting flight with Air India from Amritsar to New Delhi. The airline changed the time of flight by three hours and interrupted the whole schedule. And then on contacting with airline customer service after 40 minutes of waiting on call, I have been advised that they can’t help me. Seriously they don’t understand what is the value of the customer.",Air India,2019,6
Family Leisure,Economy Class,Dubai to Chennai,2019-06-01,1.0,1.0,2.0,2.0,1.0,1.0,0,1.0," Dubai to Chennai. I booked the ticket for my family (3+1 Infant), when my family entered the aircraft they had not provided the infant carrier & for my family also seats provided at the last row, which the seats did not have recline. The flight was to reach Chennai @ 05.00 am today, due to less fuel they landed in Bangalore airport & they said that we are landing in Bangalore due to bad weather condition in Chennai, during the filling of fuel they switched off the engine & AC, more than 1 hour. All passengers are suffocated due to no air supply after all passengers shout they opened the emergency exit, my family had to hold the baby until they reached Chennai. They reached Chennai @ 07.30 am.",Air India,2019,6
Solo Leisure,Premium Economy,Frankfurt to Sydney via Delhi,2019-05-01,5.0,1.0,1.0,3.0,4.0,3.0,0,3.0,"  Frankfurt to Sydney via Delhi. Happy with new aircraft, sad with Service.  No drinks provided on seat, no response of call light. Need to walk to kitchen and ask for my drink.",Air India,2019,5
Family Leisure,Economy Class,Paris to Mumbai via Delhi,2019-06-01,2.0,1.0,2.0,1.0,1.0,1.0,0,3.0,  Paris to Mumbai via Delhi. Air India sorry to say is the worst airline experience any can ever have. I was traveling with my son and to make it easier instead of 2 suitcases of 23kg each I chose to carry 1 suitcase of around 28kg. While going to Paris I travelled in Emirates with same luggage allowance and had smoothest check-in. But for my return flight they did not let me check in because I had one suitcase and asked me to either make it in two bags (which  I didn’t have on Paris airport) or pay for excess. Even on requesting and telling them I have 46kg combined allowance for both tickets on same PNR but they denied stating I have to pay if I am beyond 23kg or I need to find my solutions and come back to them for checking. The air hostesses in flight were least interested in service. The headphone of my seat and my neighbours weren’t working and even after multiple requests they never even for once got time in a 9 hour flight to change our headset and thus no entertainment for us. Our flight from Paris to Delhi gets delayed. After customs and immigration the luggage drop off counter is a small crowded counter. No proper queues and Officers are the most rude people you will encounter. They at the last moment before dropping our luggage asked us to check in the liquor bought on duty free. We had to take out clothes from our bag and put bottles inside on the counter which was badly crowded and unprofessionally managed. Upon arrival in Mumbai after almost 15-18 hours and waiting for almost 40 mins for our luggage we are told that our baggage is left in Delhi and will come in the evening flight and will be delivered only after 1:00Am. On telling them that this delivery time is not acceptable they day they can only deliver that time or next day but when we told them there wont be anyone at home as we will be at office. The executive there told me that its my problem not hers. In all this was the worst experience in terms of an airline I can ever had. ,Air India,2019,6
Solo Leisure,Economy Class,San Francisco to Delhi,2019-06-01,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,"  San Francisco to Delhi. I booked this flight in February for June flight - unfortunately there was bad experience with me. Third class food, and  the baggage service very poor - they lost my bag at Delhi airport and they didn’t pick my call and then 4-5 days after they said I have to come airport again and pick up my bag - I am living 600 km away from airport. i would never recommend to anyone this airline.",Air India,2019,6
Solo Leisure,Economy Class,Melbourne to Hyderabad via New Delhi,2019-05-01,2.0,3.0,1.0,1.0,2.0,1.0,0,1.0,"  Melbourne to Hyderabad via New Delhi which had a transit time of 14 hours at New Delhi Airport. They asked to recheck in at Delhi Airport. When I was trasferring from International terminal to domestic terminal they dint even allow me to enter the airport stating that my flight has a long time to go and you need to wait. I was asked to wait outside the airport where there was no proper seating facility and waiting area available. When I was trying to contact Air india office they were not ready to listen and they were very rude and arrogant. I’ve been living abroad for the past 6 years and travelled with Malaysian, Singapore, Thai, Cathay Pacific and Sri Lankan airlines and never faced this kind of a problem. I was so unhappy with the customer service they have provided to me and finally when i demanded that I’l lodge a complaint against the airlines they finally allowed me inside the airport. I’ve my return flight on July 9th and I’ve the same 14 hours of transit time. I’m trying to contact the customer service helpline, Delhi airport office, Hyderabad airport office to enquire about the hotel booking or lounge booking but no one is picking up the phone and its keeping on hold line for more than 40 minutes. This is not the way you guys treat a customer. This is the worst customer service experience I’ve ever had in any airlines. Definitely I’m not flying with Air India again and will recommend to all my colleagues and friends not to fly with Air India.",Air India,2019,5
Solo Leisure,Economy Class,Copenhagen to Bangkok via Delhi,2019-04-01,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,"  Copenhagen to Bangkok via Delhi. Do they know the word customer service? I booked tickets flying from Copenhagen to Bangkok via Delhi. They changed the scheduled times 3 times. The last time they only allowed me 10 minutes in transit flying from Bangkok to Copenhagen via Delhi. I tried to call 3 different numbers to try and fix the problem, but I wasn't able to get a real person to answer the call. I then tried to write to different mail addresses, again I had to wait almost 2 weeks before I finally got an answer. Their solution was to offer me to fly from Bangkok to Delhi 1 day earlier, but then I had 12 hours in transit in one of the worst airports in Asia. When I wrote back to accept their offer, I had to wait another 2 weeks, and finally the night before I was supposed to fly back, they sent me an updated itinerary. On the first leg of my trip, the entertainment didn't work. The seats are very hard and old. The service is very poor, when I compare to other Star Alliance companies. The tickets were cheap, but I will not fly Air India again.",Air India,2019,4
Solo Leisure,Economy Class,Chicago to Chennai via New Delhi,2019-05-01,1.0,3.0,1.0,1.0,1.0,1.0,0,1.0,"  Chicago to Chennai via New Delhi. My initial flight from Chicago to New Delhi got delayed couple of hours because of delayed start. I had only couple hours for my connecting flight at New Delhi. Air India agent at Chicago has rebooked my flight from New Delhi to Chennai without asking my concern and the connecting time now I have is 9hrs. I was told at Chicago that I will be provided with a hotel and asked me to talk to Air India people at New Delhi for allotment. When I reached New Delhi, I was told that they do not have any hotel but can provide me with lounge access which has beds to sleep and fresh up. I was provided with a complimentary dinner from Dilli Street restaurant inside the domestic terminal. But when I came to lounge to take rest I was told that there is communication for them to provide lounge access and we had to escalate this to a manager at New Delhi airport who in turn told me that they did not promise me any lounge access or beds. I was told to just stay at boarding gate.  This is my first time flying with Air India. When I mentioned the same with Air India agents they said that this always happens with Air India and the service is not that great with Air India. When I spoke with manager and asked them ""Shouldn't they be providing accommodation for delays from Air India and is this how you treat passengers?"" Her reply was you can interpret that in any way but I cannot help you in any way except for asking you to wait at departure gate. Entertainment system in international flight did not work for my co passenger. I had to switch seats and we had to take turns to watch movies. I would rate them 0/10, but unfortunately I do not have that option.",Air India,2019,5
Solo Leisure,Business Class,Delhi to Melbourne,2019-05-01,4.0,5.0,5.0,4.0,2.0,5.0,1,9.0," Another very good flight with Air India. I was able to upgrade myself to Business and have not regretted it. The plane was very new and clean (including toilets throughout the flight), flight attendents and food excellent. The flight left on time and arrived in Melbourne about 10 minutes early. Although the layout is 2-2-2, the lie-flat beds are comfortable and Air India provided a warm blanket, pyjamas and a nice amenity set. The only slight drawback was the check-in procedure (that was not flight-specific but for all AI flights) and that took about 1 hour and 15 minutes of waiting to get four lines of passengers checked in before me, although these were the 'drop-bag' check in counters. Either Air India has upped its game or I was very lucky to have had two excellent flight experiences.",Air India,2019,5
Solo Leisure,Economy Class,Delhi to Paris,2019-04-01,2.0,3.0,2.0,1.0,1.0,1.0,0,3.0,"  Delhi to Paris. I had my worst flying experience so far with this company. I had my retrun flight from Delhi on April 29th 2019. When I arrived at the checking counter and presented my passport, another client with many passports just passed in front of me without any explanation. She was accompanied with what seems to be the manager. The agent ignored me completely and focused only on the new customer with many passports. I asked for explanations many times but the only answer I got is ""one second madam"". After about 10min, when finished with the ""out of nowhere"" customer, he handed me back my passport while telling me that my flight is tomorrow. The only explanation I got is that there was a technical problem with the company's server and there were not enough seats. After getting my boarding card for tomorow's flight I went to Air India's agency to demand an accommodation or any other assistance while waiting for my flight the next day. The only answer I've got is that there is nothing I can get on the spot and all I can do is to send a complaint by email to ask for compensation. If possible, avoid Air India at all cost. They will not even treat you as a human being if you don't know a manager or have some kind of a mysterious privilege",Air India,2019,4
Solo Leisure,Economy Class,Shanghai to New Delhi,2019-01-01,1.0,3.0,2.0,1.0,1.0,2.0,0,2.0,"  Shanghai to New Delhi. Positives: Main course was okay Arrived on time Negatives: Otherwise, the food was rubbish The hollywood section of the entertainment was frozen so didn't work, not like it offered good or new movies anyway. Only one small meal was served on a 7.5 hour flight. Seat was hard and uncomfortable. Interiors were outdated and in tatters even though it was a relatively new plane. Service was unremarkable. They didn't allow my bag to go even 0.5kg over the limit, wanted me to pay 200RMB extra. The cabin was very smelly, nothing felt clean at all. Even Chinese carriers are better than Air India.",Air India,2019,1
Solo Leisure,Economy Class,Amritsar to Mumbai,2019-04-01,3.0,4.0,4.0,2.0,3.0,2.0,1,8.0,"  I travelled on 13/4/19 from Amritsar to Mumbai. Thank god Air India is going, very much better, joyful crew, food was amazing, and above all pilot who landed 25 minutes early. Keep it up.",Air India,2019,4
Business,Economy Class,Bangkok to Mumbai,2019-04-01,4.0,1.0,4.0,1.0,5.0,3.0,0,5.0,"  I had bought a round ticket Mumbai to Hong Kong and Bangkok to Mumbai. While my trip from Mumbai to Hong Kong was a surprisingly good experience with excellent food and service, the return trip was not half as nice. The cabin staff were rude to say the least. And not only to me but to several passengers. When one passenger spoke out, more than 30 passengers clapped to support him. ",Air India,2019,4
Family Leisure,Economy Class,Kathmandu to Kolkata,2019-04-01,2.0,1.0,2.0,1.0,1.0,1.0,0,1.0," Terrible communications and poor service, not again! Was flying from Kathmandu to Kolkata on the 22nd of April. The flight kept getting delayed and there was no announcement or any sort of information. The Gate no was not provided as well. We kept guessing what was happening. Finally got to know that the Gate no. has been provided from staff but the same was not announced or updated on the digital boards. When the boarding started, there were two weird vehicles attached to the stairs of the plane, which were basically for another round of security checks. It was so hard to get up in those vehicles as the stairs were steep and my mom and dad who are old, struggled badly. Male security persons were opening ladies purses and searching them so disrespectfully. When I asked what's this checking for, I was not given any answers. The body check was also done in the most disrespectful way and everyone was feeling frustrated. When we finally came onboard, none of the staff or the captain apologised for the almost 2 hrs delay. Everyone seemed as if the flight is on time. Finally landed in Kolkata and many passengers missed their connecting flights because of such irresponsible behaviour of Air India. Never again! Such a shame!",Air India,2019,4
Solo Leisure,Economy Class,Melbourne to Delhi,2019-04-01,4.0,5.0,4.0,3.0,5.0,5.0,1,9.0,"  Melbourne to Delhi. An excellent flight, left on time, arrived Delhi 50 minutes early. The flight was about 80% full and other than a few very minor things I could not fault Air India. The food provided was excellent (breakfast of egg omelette with sausages, croissant, butter, jam, coffee/tee), lunch consisted of three choices (lamb, chicken, vegetarian). The chicken came with rice and vegetables with a separate side salad and desert, all of which was tasty and of good quality. On top of this there were two drink-runs and before landing they provided another sandwich. The seat was good (admittedly I forked out for an exit row which I then was happily able to have the whole row to myself), legroom good enough for a giraffe. The only very minor minus points were the not-working global map and a rather limited selection of new films. The crew was responsive and courteous and happy to assist. Overall, one of the more enjoyable flights in economy I have had over the last 40 or so years of flying.",Air India,2019,4
Solo Leisure,Economy Class,Dehradun to Delhi via Pune,2019-04-01,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,  Dehradun to Delhi via Pune. Pathetic service. Air India lives up to their expectations yet again - late again. Poor service by staff who have unbelievably poor social skills. If given an option never opt for Air India.,Air India,2019,4
Family Leisure,Economy Class,Pune to Sydney via Delhi,2019-03-01,2.0,2.0,2.0,3.0,2.0,1.0,0,3.0,"  Pune to Sydney via Delhi. My 60 year old mother with limited English speaking completed Delhi to Sydney on 15/03/2019. The flight departure time was 13.15 pm however it departed on 22.30 pm as the flight got delayed way too much and caused a great inconvenience & stress. Till the day we never know the real reason for the delay. The only great thing they did at least supplied food in the afternoon. We contacted Air India regarding compensation for delay however, the request was denied.  It is one of the most expensive airlines with such a poor service.",Air India,2019,3
Solo Leisure,Economy Class,Delhi to San Francisco,2019-04-01,3.0,1.0,3.0,1.0,2.0,3.0,0,2.0,"  Delhi to San Francisco. I was appalled by the lack of cabin services. None of the TVs worked in rows 30-32 across all seats in spite of repeated resets by the crew. Imagine that on a 16+ hour flight. The remotes did not work and neither did the reading lights. So, I was unable to read as well. I did not see the slightest smile on any of the crew members. I know we have come to expect poor service on airlines but this kind of customer service is unacceptable. Is this how Air India is representing the national airlines of India? Shame on them.",Air India,2019,4
Family Leisure,Economy Class,Sydney to Mumbai via Delhi,2019-03-01,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0," Sydney to Mumbai via Delhi with Air India. The inflight services were pathetic. The crew were negligent, directed to the wrong seat and then made it look like it's your fault when the passenger claimed her seat. Embarrassing! Requests for a blanket was forgotten/ignored. Outdated inflight entertainment films. Flight was delayed over 2hrs and Baggage did not arrive at destination. Luggage arrived after 8 days, after numerous calls and emails. Ruined my holiday. No decency to provide updates. Pathetic customer service. What more could go wrong? All this is worth INR 3000 compensation! Worst airlines ever! Worst flight experience ever! First and last time.",Air India,2019,3
Family Leisure,Economy Class,Washington to Delhi,2018-08-01,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,"  Washington to Delhi. Poor Customer Service. Difficult to get in touch with US Staff. Inidia Phone Staff is not supportive and not clear. I made a mistake in booking. Usually, you should be able to cancel or make changes within 24 hours. The staff was charging money for cancellation within that timeframe as well.",Air India,2018,8
Solo Leisure,Economy Class,San Francisco to Delhi,2019-03-01,5.0,5.0,5.0,4.0,5.0,5.0,1,10.0,"  The return flight from San Francisco to Delhi was scheduled for a late night departure and being quite empty ensured that there would be sufficient seats to stretch out to sleep. The flight departed on time for this epic 18 hour flight which was flying eastwards. The crew were very helpful and assisted a lot. There were 3 meal services offered on this flight (refreshments / lunch / dinner) including alcoholic / non alcoholic beverages so this ensured that satisfaction was there. Throughout the flight, I was able to rest comfortably and was even able to watch a movie or two which was very good. As the Pakistani airspace still remained close, the flight has to go through Mumbai / Gujarat before arriving at Delhi and yet the flight still landed 15 minutes ahead of schedule. Reached the destination fresh which was very important during this long haul flight. Thank you Air India for such a wonderful flight. Air India may not be a luxurious airline but it is much much better than what people think. For anyone travelling to the west coast, I would highly recommend this product as it provides great value for money and reduces the travel time considerably.",Air India,2019,3
Business,Economy Class,Delhi to Washington,2019-02-01,1.0,1.0,2.0,1.0,1.0,2.0,0,1.0,"  No matter how bad you think the Air India might be, it's actually going to be worse than that. I'm a multi-million miler, and I'd be hard pressed to think of a worse experience than 15 hours on Air India. Not all of it is the airline's fault--but if you connect from a domestic flight to leave from Delhi, you go through seven different ID and security checks before getting on the plane: everything from accessing the terminal to accessing the gate, each has its own separate security inspection. I'm not sure what terrible people they believe would pose a threat to an airline which needs no help falling apart. At the gate. We were delayed several hours for reasons unknown and unexplained. When we did board, there was immense disappointment. The seat cushion at my seat was clearly from a regional aircraft and did not fit the seat, It covered maybe 75% of the seat area, and the rest of me was sitting on the gap or directly on the metal seat frame. The entertainment system was non-functional. A 15 hour flight, and it was broken. But whatever, it's 4AM and we've been waiting almost four hours to leave. It's time to push back. And we're back to the gate. At least the pilot checked to see if we had fuel before taking off. Because apparently we didn't have enough. And refueling took another 40 minutes. That hardly seems like a top up because we idled the engines for too long. And now we're finally on our way. The food served was...pretty dreadful. The cabin crew did their best, but the condition of the aircraft wasn't their fault. However, the cleanliness of the aircraft was indeed their responsibility. By midflight, all but one lavatory had run out of toilet paper and paper towels. The one lavatory which hadn't run out of paper had an actual hole punched in the bottom of the toilet, and was covered in human waste as it could no longer flush. It was probably the most disgusting thing I'd ever seen, and even worse, there were no alternatives--waiting another 6 hours wouldn't end well for me. The ironic thing is that the inflight maps show the locations of famous shipwrecks as you fly over them--which serves as a reminder that there are some journeys that actually are worse than flying Air India. Change here needs to start from the top, and run through this organization like an avalanche. They'll need years of good reviews and quality results before I'd consider them again, but I don't think they'll have that luxury.",Air India,2019,2
Business,Economy Class,Delhi to Kathmandu,2019-03-01,3.0,1.0,2.0,2.0,1.0,1.0,0,1.0,"  Delhi to Kathmandu. Don't ever fly this this airlines, it was overbooked and they will just bump you out of the flight. The duty managers, and ground staff are very impolite, lack hospitality and are unaware about customer rights.",Air India,2019,3
Solo Leisure,Economy Class,Delhi to San Francisco,2019-03-01,5.0,5.0,5.0,1.0,5.0,5.0,1,10.0," The second onward connection from Delhi to San Francisco was scheduled in the evening and on this sector surprisingly not all the seats were full as the airline has increased the frequency of flights to SFO. Boarding happened on time and departure was ahead of the scheduled time which was a big plus. Once airborne on this 17 hour flight, the crew regularly looked after the passengers with food and drinks at regular intervals. At my seat the IFE was not working but it was not of any real consequence as I had planned on maximizing my sleep / rest time onboard. There were 3 hot meals provided on this sector with refreshments / dinner / breakfast provided. As there were some seats vacant I was able to slip back to those seats, stretch out and take good rest for 3-4 hours which was a huge advantage as I was feeling really fresh upon arrival which was 15 minutes ahead of schedule. I believe along with DEL-JFK, this flight is also one of Air India's best products as it reduces the travel time considerably and the service is warm and hospitable. Kudos to the crew for an amazing flight.",Air India,2019,3
Couple Leisure,Economy Class,Bangalore to Bangkok,2019-03-01,4.0,3.0,4.0,1.0,1.0,1.0,0,1.0,"  Flight was delayed from Goa to Bangalore by 8 hours by Air India, then they brought our connecting flight from Bangalore to Bangkok forward by one hour too. Therefore missed the Bangkok flight. The staff at Bangalore were the most unhelpful, lazy staff I have ever encountered. Eventually, wanted to reroute us to Delhi, wait for hours there, and then fly to Bangkok arriving more than a day late. Ended up buying a new ticket from Bangalore to Bangkok with another airline. Low and behold our returning flight with Air India we were informed when we arrived at he airport at 4am, was delayed by 8.5 hours. Missed our connecting flight again, going back to Goa and had to buy new tickets. Air India totally didn't care. Useless, airline - don't deserve any business. Will never use again. Avoid at all costs.",Air India,2019,3
Solo Leisure,Economy Class,Sydney to Delhi,2019-03-01,3.0,3.0,2.0,2.0,1.0,1.0,0,3.0,"  Sydney to Delhi. What a way to celebrate the international womens day than spend 5 hours with mom at the Delhi customs office, where we literally left close to midnight. This is after completing a 12 hour journey from Sydney on a flight with Air India. On the day that Air India was boasting about having an all women crew on all flights originating from India, My mother and I were struggling dealing with the rash, unprofessional and unethical officials at the AI office. This was my first and last experience with Air India My only reason to opt for this airline was because Air India is the only flight that was flying direct, allowing me and my pet to travel together. There were a lot things that went down that day, that showed lack to professionalism, ethics, corruption and misconduct. Firstly, my pet exporting company did not get a response from Air India till less than 24 hrs of travel , despite submitting all documentation more than a week ago . Secondly , I was waiting at the airport for least 40 mins as per the advice of the baggage team for my pets collection. After constantly nagging them for more Information, they told me to collect the cat from the cargo area without any directions provided to locate of the building. The Air India cargo group and customs office had absolutely no idea on how to deal with the import of a pet . There was a very obvious lack of training , and lack of knowledge of the process and protocol . All I saw was chaos and officials palming us off from one dept to another. Thirdly , air india mucked me around for another 2 hours before actually sending me to the right dept, all I heard throughout my discussion with them was whether I have an agent as they mostly deal with agents. I assume these are the middle men who get the job done. I told them there is no need for these as ACQS India has a well defined protocol that they should be following , to which that had absolutely no response apart from ""I should hire an agent. "" The middle men in India will follow the same process as what I did, the only difference would be some extra cash they slip in the pockets of these officials, who did not seem to want to do the job. I was also told that the server was down for maintenance that day, and the money has to be transferred online and only using the net bank of public banks such as PNB. The customs kept repeating that the Air India was not responding . However when my mom reached her threshold at 10. 30 pm and lashed out at the entire dept creating a a scene, the job was done within 15 mins. Air India was responding , the server was working and the money was collected in cash. We were given the gate pass to collect our cat and mom and I finally left the premises at 11 pm at night. This was my warm welcome back to my country. I can only imagine the loops they make foreign citizens go through. Finally, Air India has a vigilance dept, which provides a phone no. to report such misconduct and malpractices. As expected the number does not work. I do hope no one else goes through, what I went through I would not recommend anyone to use this airline after my experience. The airline is 2.5 on a scale of 10, there are some serious concerns with the management.",Air India,2019,3
Family Leisure,Economy Class,Hyderabad to Mumbai,2019-03-01,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,"  Hyderabad to Mumbai. The ticket is not showing up info that flight terminal is changed. When I called the airline authorities a day before my travel to confirm on two wheelchair requirements, they acknowledged for it but never stated that terminal is different. When I called at day of travel they stated we have not received wheelchair ask from you, we don't have escalation point of contact so call later. My dad had to carry my old aged grandmoms through shuttle bus and had to arrange wheelchair at the airport after making several requests",Air India,2019,3
